sign1,sign2,sign3,sign4,sign5,sign6,badwords,class
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,1,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,1,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,1,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,1,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,1,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,1,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
0,0,0,0,0,0,0,good
